NO2_lag1_scaled,NO2_scaled
0.3161517053710513,0.3920837990724759
0.3920837990724759,0.38254359012059364
0.38254359012059364,0.5226234772627403
0.5226234772627403,0.5052407613783761
0.5052407613783761,0.5053994106485371
0.5053994106485371,0.6578781453752172
0.6578781453752172,0.5677674540094779
0.5677674540094779,0.681515850725105
0.681515850725105,0.6006314113970614
0.6006314113970614,0.703056373789844
0.703056373789844,0.6081467898390059
0.6081467898390059,0.513237205888168
0.513237205888168,0.32516947335415164
0.32516947335415164,0.45468401861731295
0.45468401861731295,0.4746300736327318
0.4746300736327318,0.4355283918479916
0.4355283918479916,0.4494421879185734
0.4494421879185734,0.4326026310850315
0.4326026310850315,0.3972975489729233
0.3972975489729233,0.43345411084062496
0.43345411084062496,0.38231141393669726
0.38231141393669726,0.6761699506497513
0.6761699506497513,0.6533318407403261
0.6533318407403261,0.6423976056134862
0.6423976056134862,0.6448386078117193
0.6448386078117193,0.4821150711237275
0.4821150711237275,0.48296472969307713
0.48296472969307713,0.48381438826242673
0.48381438826242673,0.47647684559403797
0.47647684559403797,0.4240153425194635
0.4240153425194635,0.41507531189902935
0.41507531189902935,0.2706283538091474
0.2706283538091474,0.29883789381760173
0.29883789381760173,0.32704743382605606
0.32704743382605606,0.47848778050862883
0.47848778050862883,0.7209230462486625
0.7209230462486625,0.5350661335659105
0.5350661335659105,0.5465246921109219
0.5465246921109219,0.46571630819372295
0.46571630819372295,0.3707617960794927
0.3707617960794927,0.3535682050956456
0.3535682050956456,0.39193609919728567
0.39193609919728567,0.35752549799975825
0.35752549799975825,0.3231148968022308
0.3231148968022308,0.6186182041766984
0.6186182041766984,0.4865650143996239
0.4865650143996239,0.4316386053611935
0.4316386053611935,0.40429579406226446
0.40429579406226446,0.41988574980242627
0.41988574980242627,0.45926124443271155
0.45926124443271155,0.44733491392249536
0.44733491392249536,0.7275507161383277
0.7275507161383277,0.3990905430309551
0.3990905430309551,0.5919512479024334
0.5919512479024334,0.5039955489539875
0.5039955489539875,0.7099954164028174
0.7099954164028174,0.6151646669818933
0.6151646669818933,0.561456971272597
0.561456971272597,0.5607355476061981
0.5607355476061981,0.5600141239397994
0.5600141239397994,0.5599596999888055
0.5599596999888055,0.998537526183033
0.998537526183033,0.6980692641126618
0.6980692641126618,0.502392593174283
0.502392593174283,0.6795952733812187
0.6795952733812187,0.5678999383469977
0.5678999383469977,0.4233440655226052
0.4233440655226052,0.22955408783909845
0.22955408783909845,0.3859445189812718
0.3859445189812718,0.29005719193130947
0.29005719193130947,0.42213174583814383
0.42213174583814383,0.5631558985549138
0.5631558985549138,0.43063299866947574
0.43063299866947574,0.3764460135235609
0.3764460135235609,0.4216468424696176
0.4216468424696176,0.46684767141567424
0.46684767141567424,0.5239790079046166
0.5239790079046166,0.3994526527777545
0.3994526527777545,0.31031895264525905
0.31031895264525905,0.3802228196307168
0.3802228196307168,0.5155775360296915
0.5155775360296915,0.371431469095806
0.371431469095806,0.43835067358828816
0.43835067358828816,0.49798873092279555
0.49798873092279555,0.3949004111870959
0.3949004111870959,0.2876894159004596
0.2876894159004596,0.48193310844189435
0.48193310844189435,0.47390905096146935
0.47390905096146935,0.36635175181965457
0.36635175181965457,0.44038651475634244
0.44038651475634244,0.42577663568422297
0.42577663568422297,0.4111667566121034
0.4111667566121034,0.4090776165071875
0.4090776165071875,0.5026841611933615
0.5026841611933615,0.38026769766971696
0.38026769766971696,0.39753588488766284
0.39753588488766284,0.4405363421335057
0.4405363421335057,0.39930146647262954
0.39930146647262954,0.4947767041875587
0.4947767041875587,0.44309130492171395
