time,NO2
2022-08-07,2.5785073e-05
2022-08-08,4.4990964e-05
2022-08-09,3.285878e-05
2022-08-10,3.581216e-05
2022-08-11,3.1799325e-05
2022-08-12,1.224017e-05
2022-08-13,1.6377046e-05
2022-08-14,1.5732134e-05
2022-08-15,1.020425e-05
2022-08-16,4.724025e-05
2022-08-17,4.0329745e-05
2022-08-18,3.9763803e-05
2022-08-19,3.245136e-05
2022-08-20,2.9412573e-05
2022-08-21,2.6056665e-05
2022-08-22,3.727118e-05
2022-08-23,2.6194308e-05
2022-08-24,3.1290965e-05
2022-08-25,3.2304433e-05
2022-08-26,3.578853e-05
2022-08-27,6.8038906e-05
2022-08-28,4.614377e-05
2022-08-29,3.8522954e-05
2022-08-30,4.528179e-05
2022-08-31,2.9756844e-05
2022-09-01,3.0947926e-05
2022-09-02,2.9251054e-05
2022-09-03,3.7543326e-05
2022-09-04,2.7530692e-05
2022-09-05,8.2260725e-05
2022-09-06,1.5723199e-05
2022-09-07,2.8664866e-05
2022-09-08,6.4686383e-06
2022-09-09,1.932968553333333e-05
2022-09-10,3.219073276666667e-05
2022-09-11,4.505178e-05
2022-09-12,3.0286188e-05
2022-09-13,6.0089264e-05
2022-09-14,3.072869e-05
2022-09-15,4.1713156e-05
2022-09-16,3.1646578e-05
2022-09-17,3.1490184e-05
2022-09-18,6.5840664e-05
2022-09-19,4.0406616e-05
2022-09-20,1.6842507e-05
2022-09-21,2.85944155e-05
2022-09-22,4.0346324e-05
2022-09-23,2.3851548e-05
2022-09-24,3.15629e-05
2022-09-25,2.664528e-05
2022-09-26,4.713654e-05
2022-09-27,4.36719e-05
2022-09-28,3.5753954e-05
2022-09-29,3.5778015e-05
2022-09-30,3.0623805000000004e-05
2022-10-01,2.5469595e-05
2022-10-02,5.9663682e-05
2022-10-03,4.4435455e-05
2022-10-04,2.1925502e-05
2022-10-05,3.0238815666666667e-05
2022-10-06,3.855212933333333e-05
2022-10-07,4.6865443e-05
2022-10-08,3.564599e-05
2022-10-09,3.9376035e-05
2022-10-10,4.7948266e-05
2022-10-11,5.1214032e-05
2022-10-12,2.9391818e-05
2022-10-13,3.9466053e-05
2022-10-14,3.5246117e-05
2022-10-15,3.2067484e-05
2022-10-16,4.04743e-05
2022-10-17,4.48309235e-05
2022-10-18,4.9187547e-05
2022-10-19,5.3414605249999994e-05
2022-10-20,5.76416635e-05
2022-10-21,6.186872175e-05
2022-10-22,6.609578e-05
2022-10-23,4.831496e-05
2022-10-24,4.5963477499999996e-05
2022-10-25,4.3611995e-05
2022-10-26,4.0850452666666666e-05
2022-10-27,3.808891033333334e-05
2022-10-28,3.5327368e-05
2022-10-29,0.00024006073
2022-10-30,4.488646e-05
2022-10-31,7.0233764e-05
2022-11-01,4.125222e-05
2022-11-02,3.2982894e-05
2022-11-03,3.139818e-05
2022-11-04,2.487251e-05
2022-11-05,3.8656708e-05
2022-11-06,4.748102e-05
2022-11-07,4.76343165e-05
2022-11-08,4.7787613e-05
2022-11-09,4.7818120399999997e-05
2022-11-10,4.78486278e-05
2022-11-11,4.78791352e-05
2022-11-12,4.7909642600000004e-05
2022-11-13,4.794015e-05
2022-11-14,2.1880911e-05
2022-11-15,2.8293569e-05
2022-11-16,3.4706227000000004e-05
2022-11-17,4.1118885e-05
2022-11-18,4.0534167250000004e-05
2022-11-19,3.99494495e-05
2022-11-20,3.936473175e-05
2022-11-21,3.8780014e-05
2022-11-22,3.84449e-05
2022-11-23,3.4686815e-05
2022-11-24,3.504314142857143e-05
2022-11-25,3.5399467857142857e-05
2022-11-26,3.575579428571429e-05
2022-11-27,3.611212071428572e-05
2022-11-28,3.646844714285715e-05
2022-11-29,3.682477357142857e-05
2022-11-30,3.71811e-05
2022-12-01,6.3572756e-05
2022-12-02,5.9213538799999995e-05
2022-12-03,5.4854321599999995e-05
2022-12-04,5.04951044e-05
2022-12-05,4.61358872e-05
2022-12-06,4.177667e-05
2022-12-07,4.3589742e-05
2022-12-08,6.428473e-05
2022-12-09,2.9314931e-05
2022-12-10,5.137271e-05
2022-12-11,2.5058742e-05
2022-12-12,4.7727255e-05
2022-12-13,3.519738e-05
2022-12-14,5.5763663e-05
2022-12-15,6.210802e-05
2022-12-16,5.33269425e-05
2022-12-17,4.4545865e-05
2022-12-18,4.444851e-05
2022-12-19,4.1061547e-05
2022-12-20,5.0457304e-05
2022-12-21,4.153232e-05
2022-12-22,4.761053e-05
2022-12-23,4.791780766666667e-05
2022-12-24,4.8225085333333336e-05
2022-12-25,4.8532363e-05
2022-12-26,4.883964066666667e-05
2022-12-27,4.9146918333333334e-05
2022-12-28,4.9454196e-05
2022-12-29,4.285497675e-05
2022-12-30,3.62557575e-05
2022-12-31,2.965653825e-05
2023-01-01,2.3057319e-05
2023-01-02,2.8302905333333333e-05
2023-01-03,3.354849166666667e-05
2023-01-04,3.8794078e-05
2023-01-05,3.1379772e-05
2023-01-06,3.2663050999999995e-05
2023-01-07,3.394633e-05
2023-01-08,4.7262936e-05
2023-01-09,4.888932e-05
2023-01-10,5.0515704e-05
2023-01-11,6.5215e-05
2023-01-12,5.5736924e-05
2023-01-13,6.231191e-05
2023-01-14,4.1912135e-05
2023-01-15,3.195276e-05
2023-01-16,2.8923972e-05
2023-01-17,3.8580707e-05
2023-01-18,3.2479078e-05
2023-01-19,2.7593359e-05
2023-01-20,2.270764e-05
2023-01-21,3.612782e-05
2023-01-22,3.5324487e-05
2023-01-23,4.5802477e-05
2023-01-24,3.7777485e-05
2023-01-25,3.48860056e-05
2023-01-26,3.19945262e-05
2023-01-27,2.91030468e-05
2023-01-28,2.62115674e-05
2023-01-29,2.3320088e-05
2023-01-30,2.62198575e-05
2023-01-31,2.9119627e-05
2023-02-01,4.8806268500000004e-05
2023-02-02,6.849291e-05
2023-02-03,5.67774e-05
2023-02-04,4.506189e-05
2023-02-05,3.334638e-05
2023-02-06,4.7542495e-05
2023-02-07,6.173861e-05
2023-02-08,5.55057285e-05
2023-02-09,4.9272847e-05
2023-02-10,5.1652565333333335e-05
2023-02-11,5.403228366666667e-05
2023-02-12,5.6412002e-05
2023-02-13,3.7834157e-05
2023-02-14,4.0326668e-05
2023-02-15,3.8701404500000004e-05
2023-02-16,3.7076141e-05
2023-02-17,3.54508775e-05
2023-02-18,3.3825614e-05
2023-02-19,3.5716042e-05
2023-02-20,4.3475186e-05
2023-02-21,3.7435122e-05
2023-02-22,2.8245113e-05
2023-02-23,2.925075e-05
2023-02-24,4.369348e-05
2023-02-25,3.318574e-05
2023-02-26,2.3230612e-05
2023-02-27,1.3275484e-05
2023-02-28,1.809917e-05
2023-03-01,2.2922855999999997e-05
2023-03-02,2.7746541999999998e-05
2023-03-03,3.2570228e-05
2023-03-04,2.4681984e-05
2023-03-05,3.179555e-05
2023-03-06,3.8037753e-05
2023-03-07,6.157331e-05
2023-03-08,3.5494395e-05
2023-03-09,3.9454124e-05
2023-03-10,3.637675e-05
2023-03-11,4.7134698e-05
2023-03-12,3.2237273e-05
2023-03-13,2.1340076e-05
2023-03-14,3.0261808e-05
2023-03-15,3.471381e-05
2023-03-16,4.650306e-05
2023-03-17,4.5449113e-05
2023-03-18,2.9589504e-05
2023-03-19,2.3313221e-05
2023-03-20,2.9142791e-05
2023-03-21,3.1003234e-05
2023-03-22,4.9627826e-05
2023-03-23,5.1680974e-05
2023-03-24,6.615484e-05
2023-03-25,6.2135616e-05
2023-03-26,6.889929800000001e-05
2023-03-27,7.566298e-05
2023-03-28,7.01710854e-05
2023-03-29,6.46791908e-05
2023-03-30,5.9187296199999994e-05
2023-03-31,5.369540159999999e-05
2023-04-01,4.8203507e-05
2023-04-02,3.137532e-05
2023-04-03,5.3682157e-05
2023-04-04,5.626965e-05
2023-04-05,9.1984046e-05
2023-04-06,6.8931886e-05
2023-04-07,4.5879726e-05
2023-04-08,5.3997876e-05
2023-04-09,3.51756e-05
2023-04-10,1.835319e-05
2023-04-11,3.9104354e-05
2023-04-12,5.0487914e-05
2023-04-13,4.4806506e-05
2023-04-14,3.9125098e-05
2023-04-15,4.8485086e-05
2023-04-16,4.354567e-05
2023-04-17,5.70147e-05
2023-04-18,2.0716649e-05
2023-04-19,3.4757788e-05
2023-04-20,3.186901566666667e-05
2023-04-21,2.898024333333333e-05
2023-04-22,2.6091471e-05
2023-04-23,1.9970825e-05
2023-04-24,2.2764882e-05
2023-04-25,2.7291582e-05
2023-04-26,1.7620421e-05
2023-04-27,3.1718046e-05
2023-04-28,2.9664254e-05
2023-04-29,2.6401329e-05
2023-04-30,2.3138404e-05
2023-05-01,2.9821358e-05
2023-05-02,2.760487e-05
2023-05-03,3.161977e-05
2023-05-04,2.7837274e-05
2023-05-05,2.7262247e-05
2023-05-06,3.402804e-05
2023-05-07,2.812845e-05
2023-05-08,4.5114928e-05
2023-05-09,6.239396e-05
2023-05-10,4.924341966666666e-05
2023-05-11,3.609287933333333e-05
2023-05-12,2.2942339e-05
2023-05-13,4.173561e-05
2023-05-14,4.984708e-05
2023-05-15,6.035636e-05
2023-05-16,4.380886e-05
2023-05-17,6.575881e-05
2023-05-18,4.334366e-05
2023-05-19,8.089156e-05
2023-05-20,4.8682683e-05
2023-05-21,2.813501e-05
2023-05-22,3.489204e-05
2023-05-23,5.215256e-05
2023-05-24,3.525735e-05
2023-05-25,5.0144066e-05
2023-05-26,3.333419e-05
2023-05-27,4.767086e-05
2023-05-28,4.38536e-05
2023-05-29,4.5664612e-05
2023-05-30,3.222208e-05
2023-05-31,3.6976075e-05
2023-06-01,2.9615408e-05
2023-06-02,3.707875e-05
2023-06-03,4.6809928e-05
2023-06-04,4.7396756e-05
2023-06-05,3.3004613e-05
2023-06-06,3.7283236e-05
2023-06-07,3.9707367e-05
2023-06-08,3.889641e-05
2023-06-09,4.3508735e-05
2023-06-10,6.45219e-05
2023-06-11,3.3755405e-05
2023-06-12,3.147162e-05
2023-06-13,3.9420473e-05
2023-06-14,2.5862688e-05
2023-06-15,3.473359e-05
2023-06-16,6.752155e-05
2023-06-17,3.4417626e-05
2023-06-18,3.446867e-05
2023-06-19,6.072787e-05
2023-06-20,6.3150175e-05
2023-06-21,5.089219e-05
2023-06-22,4.7481502e-05
2023-06-23,3.817456e-05
2023-06-24,5.7059122e-05
2023-06-25,3.6129648e-05
2023-06-26,7.717055e-05
2023-06-27,5.6510973e-05
2023-06-28,4.076445e-05
2023-06-29,3.249223e-05
